Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,01/01/2024,2024,01,01,-0.7,,-3.1,,-1.9,,19.9,,0,,,,,,0.1,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,02/01/2024,2024,01,02,1.5,,-1.5,,0,,18,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,03/01/2024,2024,01,03,3.1,,0.6,,1.9,,16.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,04/01/2024,2024,01,04,1.8,,-6,,-2.1,,20.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,05/01/2024,2024,01,05,0.4,,-2.1,,-0.9,,18.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,06/01/2024,2024,01,06,2.1,,-3.5,,-0.7,,18.7,,0,,,,,,5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,07/01/2024,2024,01,07,0.7,,-4.2,,-1.7,,19.7,,0,,,,,,0.1,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,08/01/2024,2024,01,08,3.7,,0.6,,2.2,,15.8,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,09/01/2024,2024,01,09,7,,0.6,,3.8,,14.2,,0,,,,,,31.2,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,10/01/2024,2024,01,10,6.7,,0.7,,3.7,,14.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,11/01/2024,2024,01,11,2.8,,0.6,,1.7,,16.3,,0,,,,,,3.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,12/01/2024,2024,01,12,3.9,,-0.1,,1.9,,16.1,,0,,,,,,11.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,13/01/2024,2024,01,13,6.8,,-2.9,,1.9,,16.1,,0,,,,,,3.3,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,14/01/2024,2024,01,14,-2.5,,-11.2,,-6.8,,24.8,,0,,,,,,0.1,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,15/01/2024,2024,01,15,-7.1,,-12.5,,-9.8,,27.8,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,16/01/2024,2024,01,16,-6.3,,-10.9,,-8.6,,26.6,,0,,,,,,0.9,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,17/01/2024,2024,01,17,-7.4,,-14.2,,-10.8,,28.8,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,18/01/2024,2024,01,18,-2.8,,-7.6,,-5.2,,23.2,,0,,,,,,0,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,19/01/2024,2024,01,19,-4.9,,-13.8,,-9.4,,27.4,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,20/01/2024,2024,01,20,-7,,-14.1,,-10.5,,28.5,,0,,,,,,0,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,21/01/2024,2024,01,21,-1.4,,-10.7,,-6,,24,,0,,,,,,0,,2,,,M,,M
